"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"200",200,"Loxospora elatina",NA,"","","","",933084,"","","","","","Wetmore, C.","100433","",2010,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","933084.2010","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"202",202,"Loxospora elatina",NA,"","","","",933077,"","","","","","Wetmore, C.","100441","",2010,NA,NA,NA,"","on white birch","","","","",NA,NA,NA,"","",NA,"","","933077.2010","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"203",203,"Loxospora elatina",NA,"","","","",714659,"","","","","","Wetmore, C.","39697","",1979,NA,NA,NA,"","on thuja","","","","",NA,NA,NA,"","",NA,"","","714659.1979","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"204",204,"Loxospora elatina",NA,"","","","",786482,"","","","","","Trana, T.","14092","",1986,NA,NA,NA,"","on dead balsam fir","","","","",NA,NA,NA,"","",NA,"","","786482.1986","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"205",205,"Loxospora elatina",NA,"","","","",723428,"","","","","","Wetmore, C.","27175","",1977,NA,NA,NA,"","on jack pine","","","","",NA,NA,NA,"","",NA,"","","723428.1977","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"206",206,"Loxospora elatina",NA,"","","","",21435,"","","","","","Fink, B.","638","",1897,NA,NA,NA,"","on trees","","","","",NA,NA,NA,"","",NA,"","","21435.1897","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"207",207,"Loxospora elatina",NA,"","","","",909332,"","","","","","Wetmore, C.","90159","",2003,NA,NA,NA,"","on thuja","","","","",NA,NA,NA,"","",NA,"","","909332.2003","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"208",208,"Loxospora elatina",NA,"","","","",869081,"","","","","","Wetmore, C.","83357","",1999,NA,NA,NA,"","on thuja","","","","",NA,NA,NA,"","",NA,"","","869081.1999","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"227",227,"Pertusaria ophthalmiza",NA,"","","","",924087,"","","","","","Wetmore, C.","64189","",1989,NA,NA,NA,"","on black spruce","","","","",NA,NA,NA,"","",NA,"","","924087.1989","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
"228",228,"Pertusaria ophthalmiza",NA,"","","","",813439,"","","","","","Wetmore, C.","68065","",1991,NA,NA,NA,"","on white birch","","","","",NA,NA,NA,"","",NA,"","","813439.1991","","","","","","Variolariaceae","Pertusariales","Lecanoromycetes","crustose","chlorococcoid"
