id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
,,,,,900339,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Agnes, M.",5,1912-10-00,1912,10,0,,,00/Oct/1912,on wood,United States,Minnesota,Saint Louis,Duluth,0,,,,6/2/2016 12:52,11,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,http://bellatlas.umn.edu/collections/individual/index.php?occid=760528,900339.1912,,good,,,,
,,,,,894425,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",3371,5/4/1996,1996,5,4,125,,4-May-96,on dead branch,United States,Minnesota,Washington,Falls Creek Scientific Natural Area,0,,,,6/2/2016 12:52,11,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,http://bellatlas.umn.edu/collections/individual/index.php?occid=758064,894425.1996,,good,,,,
,,,,,893664,,,,,,Trypethelium virens,,,,"Ryan, B.",27579,,1991,,,,,,,,,,,,,,,,,,,893664.1991,,,,,,
,,,,,889865,,,,,,Rhizocarpon grande,,,,"Reschke, C.",63,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,889836,,,,,,Rhizocarpon grande,,,,"Reschke, C.",1056,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,889791,,,,,,Lecidea tessellata,,,,"Reschke, C.",1181,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,889790,,,,,,Acarospora americana,,,,"Reschke, C.",1186,,2001,,,,,,,,,,,,,,,,,,,889790.2001,,good,,,,
,,,,,889787,,,,,,Lecidea tessellata,,,,"Reschke, C.",1194,,2001,,,,,,,,,,,,,,,,,,,889787.2001,,,,,,
,,,,,889720,,,,,,Lecidea tessellata,,,,"Reschke, C.",1405,,2001,,,,,,,,,,,,,,,,,,,889720.2001,,,,,,
,,,,,889715,,,,,,Ephebe ocellata,,,,"Reschke, C.",1414,,2001,,,,,,,,,,,,,,,,,,,889715.2001,,good,,,,
,,,,,889525,,,,,,Strigula submuriformis,,,,"Ladd, D.",24748,,2003,,,,,,on carya ovata,,,,,,,,,,,,,889525.2003,,,,,,
,,,,,887334,,,,,,Acarospora americana,,,,"Wetmore, C.",92592,,2004,,,,,,,,,,,,,,,,,,,887334.2004,,good,,,,
,,,,,887082,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",94470,,2005,,,,,,on white pine,,,,,,,,,,,,,887082.2005,,,,,,
,,,,,887072,,,,,,Baeomyces rufus,,,,"Wetmore, C.",94506,,2005,,,,,,,,,,,,,,,,,,,887072.2005,,,,,,
,,,,,886850,,,,,,Strigula submuriformis,,,,"Wetmore, C.",93765,,2005,,,,,,on sugar maple,,,,,,,,,,,,,886850.2005,,,,,,
,,,,,885134,,,,,,Pertusaria ophthalmiza,,,,"Johansson, P.",96,,2003,,,,,,on balsam fir,,,,,,,,,,,,,885134.2003,,,,,,
,,,,,884947,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",92448,,2004,,,,,,on balsam fir,,,,,,,,,,,,,884947.2004,,,,,,
,,,,,884900,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",92496,,2004,,,,,,,,,,,,,,,,,,,884900.2004,,good,,,,
,,,,,884895,,,,,,Baeomyces rufus,,,,"Wetmore, C.",92501,,2004,,,,,,,,,,,,,,,,,,,884895.2004,,,,,,
,,,,,884825,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",92572,,2004,,,,,,,,,,,,,,,,,,,884825.2004,,good,,,,
,,,,,883271,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",91348,,2004,,,,,,,,,,,,,,,,,,,883271.2004,,,,,,
,,,,,881733,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Cole, M.",2075,7/24/1996,1996,7,24,206,,24-Jul-96,on fallen pine,United States,Minnesota,Clearwater,Okerson Heights Trail Near Budd Lake; Itasca State Park,0,47.16388889,-95.175,"47°09'50""N, 95°10'30""W",6/2/2016 12:52,11,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,http://bellatlas.umn.edu/collections/individual/index.php?occid=747557,881733.1996,,good,,,,
,,,,,881364,,,,,,Trypethelium virens,,,,"Lendemer, J.",783,,2003,,,,,,on ilex,,,,,,,,,,,,,881364.2003,,,,,,
