"","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"73","Dimelaena oreina",NA,"","","","",901582,"","","","","","Wetmore, C.","95463","",2007,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","901582.2007","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"74","Dimelaena oreina",NA,"","","","",24850,"","","","","","Fink, B.","367","",1899,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","24850.1899","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"75","Dimelaena oreina",NA,"","","","",869651,"","","","","","Wheeler, G.","19595","",1999,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","869651.1999","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"76","Dimelaena oreina",NA,"","","","",24849,"","","","","","Fink, B.","s.n.","",1901,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","24849.1901","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"77","Dimelaena oreina",NA,"","","","",835136,"","","","","","Wetmore, C.","74474","",1994,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","835136.1994","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"78","Dimelaena oreina",NA,"","","","",863268,"","","","","","Saltveit, M.","100","",1970,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","863268.1970","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"79","Dimelaena oreina",NA,"","","","",24851,"","","","","","Fink, B.","201","",1899,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","24851.1899","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"80","Dimelaena oreina",NA,"","","","",721662,"","","","","","Wetmore, C.","41942","",1980,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","721662.1980","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"81","Dimelaena oreina",NA,"","","","",814970,"","","","","","Schuster, J.","2471","",1990,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","814970.1990","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"82","Dimelaena oreina",NA,"","","","",714872,"","","","","","Wetmore, C.","35396","",1978,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","714872.1978","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"83","Dimelaena oreina",NA,"","","","",785627,"","","","","","Wetmore, C.","57655","",1986,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","785627.1986","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"84","Dimelaena oreina",NA,"","","","",863485,"","","","","","Wetmore, C.","23394","",1974,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","863485.1974","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"85","Dimelaena oreina",NA,"","","","",858435,"","","","","","Wheeler, G.","17423","",1997,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","858435.1997","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"86","Dimelaena oreina",NA,"","","","",785671,"","","","","","Wetmore, C.","57536","",1986,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","785671.1986","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"87","Ephebe ocellata",NA,"","","","",732870,"","","","","","Wetmore, C.","28144","",1977,NA,NA,NA,"","on sunny trickle area","","","","",NA,NA,NA,"","",NA,"","","732870.1977","","good","","","","Lichinaceae","Lichinales","Lichinomycetes","fruticose","filimentous cyanobacteria"
"88","Ephebe ocellata",NA,"","","","",707160,"","","","","","Wetmore, C.","38436","",1979,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","707160.1979","","great","","","","Lichinaceae","Lichinales","Lichinomycetes","fruticose","filimentous cyanobacteria"
